SchemaCode,UniqueIdentifier,Field,OldValue,NewValue,Status
ACCESSCONTROL-ACTIONS-TEST.actions-test,3c2fb2fe-ca2b-4934-8142-b06af11a37bb,navigationURL,/workbench-ui/employee/hcmworkbench/campaign,/chad/hcm-digit-ui/employee/hcmworkbench/campaign,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,6ab20f61-79c2-402b-b0cc-4ebeecffa42d,navigationURL,/workbench-ui/employee/workbench/localisation-search,/chad/hcm-digit-ui/employee/workbench/localisation-search,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,bfa6fe18-8ca6-4cbb-bfde-05350d19efa3,navigationURL,/workbench-ui/employee/hrms/search,/chad/hcm-digit-ui/employee/hrms/search,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,19e22204-02e2-4c66-8cd6-cda9c9e6e318,navigationURL,/workbench-ui/employee/hcmworkbench/user,/chad/hcm-digit-ui/employee/hcmworkbench/user,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,40eb4eef-ba5e-4457-ab8c-6216175c7689,navigationURL,/workbench-ui/employee/hcmworkbench/help-screen/coded-user,/chad/hcm-digit-ui/employee/hcmworkbench/help-screen/coded-user,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,b710a521-c957-4668-89ad-ccf000985fa6,navigationURL,/workbench-ui/employee/hcmworkbench/help-screen/check-list,/chad/hcm-digit-ui/employee/hcmworkbench/help-screen/check-list,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,1cebfda8-7623-47df-91c1-5f7cf32953a7,navigationURL,/workbench-ui/employee/hcmworkbench/inbox,/chad/hcm-digit-ui/employee/hcmworkbench/inbox,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,689adbde-3773-41a1-82a6-15c2ebabed47,navigationURL,/workbench-ui/employee/hrms/inbox,/chad/hcm-digit-ui/employee/hrms/inbox,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,3e5e5f84-9df3-4e56-aff9-e605aa7c1b60,navigationURL,/workbench-ui/employee/hrms/create,/chad/hcm-digit-ui/employee/hrms/create,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,827182f7-6a82-4753-8dcd-6d3c873cc8b0,navigationURL,/workbench-ui/employee/hrms/inbox,/chad/hcm-digit-ui/employee/hrms/inbox,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,20306cb2-d647-43e5-b144-18f8618e7efd,navigationURL,/workbench-ui/employee/hrms/create,/chad/hcm-digit-ui/employee/hrms/create,SUCCESS
